dataset	dataset_label	k	method	kmer_count	S_bits_per_kmer	M_bits_per_kmer	lb
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	greedy-minrun	4179237	2.484196517211156	0.14820695739437606	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	joint-1	4179237	2.484432924000242	0.1462621047813273	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	joint-250	4179237	3.448789336426721	0.043047092088819086	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	joint-30	4179237	2.5508962521149194	0.11191325115086798	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	joint-400	4179237	3.8211510857125357	0.03203646981494469	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	joint-7	4179237	2.489229493326174	0.1365072141158781	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	joint-70	4179237	2.7245260319048668	0.0860023013770217	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	matchtigs	4179237	2.6455001235871523	0.13082770850277214	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	eulertigs	6260453	3.2981824158731006	0.1745164447365071	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	greedy-maxone	6260453	2.758406140897472	0.09930527391548183	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	greedy-minone	6260453	2.758406140897472	0.17016021045122454	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	greedy-minrun	6260453	2.758406140897472	0.09910081586747796	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	joint-1	6260453	2.758568429473075	0.0988656891122735	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	joint-250	6260453	3.34088891011561	0.04187300823119349	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	joint-30	6260453	2.784949587513875	0.08317353392797613	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	joint-400	6260453	3.6540116186480436	0.032651950266218754	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	joint-7	6260453	2.7601325335403044	0.09445961817779001	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	joint-70	6260453	2.8633656382373607	0.07040512883013418	2.7592157762582437
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	63	matchtigs	6260453	2.9081320473135093	0.08818403396687109	2.7592157762582437
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	eulertigs	6634375	3.047877154969383	0.4746683749411211	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	greedy-maxone	6634375	2.2713596985398024	0.2928070843146491	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	greedy-minone	6634375	2.2713596985398024	0.4436143570419218	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	greedy-minrun	6634375	2.2713596985398024	0.28223427225624115	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	joint-1	6634375	2.2724687706076305	0.2651885068299576	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	joint-250	6634375	3.007855902025436	1.6399434762129063e-4	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	joint-30	6634375	2.5812981629769194	0.0752444653791804	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	joint-400	6634375	3.008023212435233	1.5434762129062647e-4	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	joint-7	6634375	2.31183856806406	0.1876770607630711	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	joint-70	6634375	2.870147074894018	0.01769209609043806	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	15	matchtigs	6634375	2.582085275553462	0.16006933584550165	2.2713744339118915
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	eulertigs	9621316	2.9849444712137094	0.24695249589557186	2.4881453117528296
