dataset	dataset_label	k	method	kmer_count	component	compressor	compression_setting	size_bytes	bits_per_kmer
E._coli_pangenome	E. coli pangenome	21	matchtigs	351305176	superstring	geco3	basic	103891832	2.365848022688968
E._coli_pangenome	E. coli pangenome	21	matchtigs	351305176	mask	geco3	max	3173664	0.07227138606121761
E._coli_pangenome	E. coli pangenome	21	matchtigs	351305176	superstring	geco3	max	80660865	1.8368272490240793
E._coli_pangenome	E. coli pangenome	21	matchtigs	351305176	mask	xz	basic	3451984	0.07860935131795496
E._coli_pangenome	E. coli pangenome	21	matchtigs	351305176	superstring	xz	basic	99679800	2.2699306884109216
E._coli_pangenome	E. coli pangenome	21	matchtigs	351305176	mask	xz	max	3325890	0.07573791056241085
E._coli_pangenome	E. coli pangenome	21	matchtigs	351305176	superstring	xz	max	90098924	2.051752838392566
E._coli_pangenome	E. coli pangenome	31	eulertigs	453589061	mask	geco3	basic	13378481	0.23595773620299013
E._coli_pangenome	E. coli pangenome	31	eulertigs	453589061	superstring	geco3	basic	144390506	2.5466311851819547
E._coli_pangenome	E. coli pangenome	31	eulertigs	453589061	mask	geco3	max	10018942	0.17670517852281276
E._coli_pangenome	E. coli pangenome	31	eulertigs	453589061	superstring	geco3	max	103195457	1.8200695893766274
E._coli_pangenome	E. coli pangenome	31	eulertigs	453589061	mask	xz	basic	7317876	0.12906618133809009
E._coli_pangenome	E. coli pangenome	31	eulertigs	453589061	superstring	xz	basic	147183900	2.5958985814254456
E._coli_pangenome	E. coli pangenome	31	eulertigs	453589061	mask	xz	max	7336487	0.12939442558558528
E._coli_pangenome	E. coli pangenome	31	eulertigs	453589061	superstring	xz	max	124916564	2.2031671350204807
E._coli_pangenome	E. coli pangenome	31	greedy-maxone	453589061	mask	geco3	basic	6378942	0.11250609943611493
E._coli_pangenome	E. coli pangenome	31	greedy-maxone	453589061	superstring	geco3	basic	111997756	1.9753167019166717
E._coli_pangenome	E. coli pangenome	31	greedy-maxone	453589061	mask	geco3	max	6304743	0.11119744353799572
E._coli_pangenome	E. coli pangenome	31	greedy-maxone	453589061	superstring	geco3	max	72496040	1.2786206058880243
E._coli_pangenome	E. coli pangenome	31	greedy-maxone	453589061	mask	xz	basic	10561472	0.1862738396153694
E._coli_pangenome	E. coli pangenome	31	greedy-maxone	453589061	superstring	xz	basic	106135400	1.8719216864006338
E._coli_pangenome	E. coli pangenome	31	greedy-maxone	453589061	mask	xz	max	6589809	0.11622518383440468
E._coli_pangenome	E. coli pangenome	31	greedy-maxone	453589061	superstring	xz	max	92107396	1.62450824183346
E._coli_pangenome	E. coli pangenome	31	greedy-minrun	453589061	mask	geco3	basic	6239990	0.11005538777752844
E._coli_pangenome	E. coli pangenome	31	greedy-minrun	453589061	superstring	geco3	basic	111997756	1.9753167019166717
E._coli_pangenome	E. coli pangenome	31	greedy-minrun	453589061	mask	geco3	max	6235918	0.1099835694670776
E._coli_pangenome	E. coli pangenome	31	greedy-minrun	453589061	superstring	geco3	max	72496040	1.2786206058880243
E._coli_pangenome	E. coli pangenome	31	greedy-minrun	453589061	mask	xz	basic	10514972	0.18545371401714647
E._coli_pangenome	E. coli pangenome	31	greedy-minrun	453589061	superstring	xz	basic	106135400	1.8719216864006338
E._coli_pangenome	E. coli pangenome	31	greedy-minrun	453589061	mask	xz	max	6542211	0.11538569268979791
E._coli_pangenome	E. coli pangenome	31	greedy-minrun	453589061	superstring	xz	max	92107396	1.62450824183346
E._coli_pangenome	E. coli pangenome	31	joint-1	453589061	mask	geco3	basic	6248979	0.11021392775607523
E._coli_pangenome	E. coli pangenome	31	joint-1	453589061	superstring	geco3	basic	111870685	1.9730755367577086
E._coli_pangenome	E. coli pangenome	31	joint-1	453589061	mask	geco3	max	6231425	0.10990432593346866
E._coli_pangenome	E. coli pangenome	31	joint-1	453589061	superstring	geco3	max	72084916	1.2713695668247167
E._coli_pangenome	E. coli pangenome	31	joint-1	453589061	mask	xz	basic	10502216	0.1852287350465888
E._coli_pangenome	E. coli pangenome	31	joint-1	453589061	superstring	xz	basic	105867156	1.8671906375625755
E._coli_pangenome	E. coli pangenome	31	joint-1	453589061	mask	xz	max	6489604	0.11445785726300838
E._coli_pangenome	E. coli pangenome	31	joint-1	453589061	superstring	xz	max	91832820	1.6196655148171661
E._coli_pangenome	E. coli pangenome	31	joint-250	453589061	mask	geco3	basic	2624523	0.04628899990160918
E._coli_pangenome	E. coli pangenome	31	joint-250	453589061	superstring	geco3	basic	130425680	2.3003320179275666
E._coli_pangenome	E. coli pangenome	31	joint-250	453589061	mask	geco3	max	2202888	0.03885257717888395
E._coli_pangenome	E. coli pangenome	31	joint-250	453589061	superstring	geco3	max	66325750	1.1697945246523482
E._coli_pangenome	E. coli pangenome	31	joint-250	453589061	mask	xz	basic	4243416	0.07484159323674695
E._coli_pangenome	E. coli pangenome	31	joint-250	453589061	superstring	xz	basic	113996196	2.0105634073040397
E._coli_pangenome	E. coli pangenome	31	joint-250	453589061	mask	xz	max	2350141	0.041449694484585464
E._coli_pangenome	E. coli pangenome	31	joint-250	453589061	superstring	xz	max	89529812	1.5790471102212054
E._coli_pangenome	E. coli pangenome	31	joint-30	453589061	mask	geco3	basic	4310056	0.07601693022310342
E._coli_pangenome	E. coli pangenome	31	joint-30	453589061	superstring	geco3	basic	113608326	2.0037225015882822
E._coli_pangenome	E. coli pangenome	31	joint-30	453589061	mask	geco3	max	4275808	0.07541289449218
E._coli_pangenome	E. coli pangenome	31	joint-30	453589061	superstring	geco3	max	68339780	1.2053161925789917
E._coli_pangenome	E. coli pangenome	31	joint-30	453589061	mask	xz	basic	7774144	0.1371134300789498
E._coli_pangenome	E. coli pangenome	31	joint-30	453589061	superstring	xz	basic	103620560	1.8275671775955813
E._coli_pangenome	E. coli pangenome	31	joint-30	453589061	mask	xz	max	4454610	0.07856644496988872
E._coli_pangenome	E. coli pangenome	31	joint-30	453589061	superstring	xz	max	88209332	1.5557576596848308
E._coli_pangenome	E. coli pangenome	31	joint-400	453589061	mask	geco3	basic	1867618	0.03293938343014846
E._coli_pangenome	E. coli pangenome	31	joint-400	453589061	superstring	geco3	basic	137471248	2.4245954732140245
E._coli_pangenome	E. coli pangenome	31	joint-400	453589061	mask	geco3	max	1873683	0.033046352500110225
E._coli_pangenome	E. coli pangenome	31	joint-400	453589061	superstring	geco3	max	67191547	1.185064681266641
E._coli_pangenome	E. coli pangenome	31	joint-400	453589061	mask	xz	basic	3610420	0.0636773733835702
E._coli_pangenome	E. coli pangenome	31	joint-400	453589061	superstring	xz	basic	120562812	2.1263795336545828
E._coli_pangenome	E. coli pangenome	31	joint-400	453589061	mask	xz	max	1990590	0.0351082540767005
E._coli_pangenome	E. coli pangenome	31	joint-400	453589061	superstring	xz	max	91341404	1.6109983569467077
E._coli_pangenome	E. coli pangenome	31	joint-7	453589061	mask	geco3	basic	5516341	0.09729231102422904
E._coli_pangenome	E. coli pangenome	31	joint-7	453589061	superstring	geco3	basic	111956371	1.9745867901342533
E._coli_pangenome	E. coli pangenome	31	joint-7	453589061	mask	geco3	max	5516193	0.09728970073200244
E._coli_pangenome	E. coli pangenome	31	joint-7	453589061	superstring	geco3	max	70975968	1.251810929364542
E._coli_pangenome	E. coli pangenome	31	joint-7	453589061	mask	xz	basic	9589396	0.1691292286257318
E._coli_pangenome	E. coli pangenome	31	joint-7	453589061	superstring	xz	basic	104915272	1.8504021550907728
E._coli_pangenome	E. coli pangenome	31	joint-7	453589061	mask	xz	max	5750204	0.1014169783957819
E._coli_pangenome	E. coli pangenome	31	joint-7	453589061	superstring	xz	max	90648580	1.598778944098037
E._coli_pangenome	E. coli pangenome	31	joint-70	453589061	mask	geco3	basic	3384824	0.05969851199740463
E._coli_pangenome	E. coli pangenome	31	joint-70	453589061	superstring	geco3	basic	117776301	2.077233533636738
